iter	Passed	Remaining
0	1	124
1	2	120
2	3	108
3	3	95
4	4	93
5	5	89
6	6	86
7	7	83
8	8	81
9	9	81
10	9	79
11	10	77
12	11	75
13	11	73
14	12	72
15	13	71
16	14	70
17	15	72
18	16	71
19	17	70
20	18	69
21	19	67
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	24	64
28	25	62
29	26	61
30	27	60
31	28	59
32	28	58
33	30	58
34	31	58
35	32	57
36	33	56
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	43
51	45	42
52	47	41
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	62	26
70	63	25
71	64	24
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	77	12
86	78	11
87	79	10
88	79	9
89	80	8
90	81	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	86	1
98	87	0
99	88	0
