iter	Passed	Remaining
0	163	163015
1	166	82940
2	168	56159
3	171	42691
4	172	34362
5	174	28956
6	175	24941
7	177	21978
8	178	19675
9	179	17798
10	181	16360
11	182	15066
12	184	14043
13	185	13082
14	186	12255
15	188	11572
16	189	10966
17	190	10393
18	191	9874
19	192	9423
20	194	9064
21	196	8728
22	198	8430
23	200	8144
24	201	7851
25	202	7573
26	202	7314
27	203	7072
28	204	6849
29	205	6638
30	206	6441
31	206	6259
32	208	6098
33	209	5944
34	211	5826
35	212	5682
36	213	5546
37	214	5417
38	215	5301
39	216	5185
40	216	5071
41	217	4964
42	218	4864
43	219	4766
44	220	4674
45	221	4587
46	222	4502
47	222	4422
48	225	4382
49	226	4309
50	228	4245
51	229	4178
52	230	4112
53	231	4048
54	231	3986
55	232	3925
56	234	3872
57	235	3817
58	235	3763
59	236	3710
60	237	3659
61	238	3612
62	241	3595
63	242	3549
64	244	3523
65	245	3480
66	246	3439
67	247	3397
68	248	3357
69	249	3320
70	250	3282
71	251	3245
72	252	3211
73	253	3177
74	255	3157
75	257	3130
76	258	3099
77	259	3068
78	260	3038
79	261	3009
80	262	2981
81	263	2954
82	265	2928
83	266	2903
84	267	2875
85	268	2848
86	268	2822
87	269	2797
88	271	2783
89	272	2759
90	273	2733
91	274	2709
92	275	2686
93	276	2663
94	277	2640
95	278	2621
96	279	2600
97	280	2580
98	281	2561
99	282	2540
100	283	2520
101	284	2500
102	285	2484
103	286	2466
104	286	2444
105	287	2426
106	288	2408
107	289	2391
108	290	2374
109	291	2359
110	292	2343
111	293	2326
112	294	2310
113	295	2297
114	296	2281
115	297	2266
116	298	2251
117	299	2237
118	300	2224
119	301	2210
120	302	2196
121	303	2182
122	304	2169
123	305	2156
124	306	2143
125	307	2130
126	307	2116
127	308	2104
128	309	2091
129	310	2079
130	311	2068
131	312	2056
132	313	2044
133	314	2033
134	315	2021
135	316	2010
136	317	1998
137	318	1987
138	319	1977
139	320	1966
140	321	1956
141	322	1945
142	322	1935
143	323	1925
144	325	1916
145	325	1906
146	326	1896
147	327	1886
148	328	1877
149	329	1868
150	331	1862
151	332	1853
152	333	1844
153	334	1836
154	335	1828
155	336	1820
156	337	1812
157	338	1804
158	339	1796
159	340	1790
160	342	1782
161	343	1775
162	344	1769
163	346	1764
164	348	1763
165	349	1757
166	351	1751
167	352	1746
168	353	1740
169	355	1733
170	356	1726
171	357	1720
172	358	1713
173	359	1707
174	360	1699
175	361	1692
176	362	1686
177	363	1679
178	364	1673
179	365	1666
180	366	1660
181	367	1653
182	368	1646
183	369	1640
184	370	1633
185	371	1627
186	372	1620
187	373	1614
188	374	1608
189	375	1602
190	377	1596
191	377	1590
192	379	1585
193	380	1579
194	381	1573
195	382	1567
196	383	1561
197	384	1555
198	385	1549
199	385	1543
200	386	1537
201	388	1532
202	389	1528
203	390	1523
204	391	1518
205	392	1513
206	393	1508
207	395	1504
208	396	1499
209	397	1495
210	398	1491
211	399	1486
212	401	1483
213	402	1480
214	404	1475
215	405	1471
216	406	1467
217	407	1462
218	409	1458
219	410	1454
220	411	1449
221	412	1444
222	413	1439
223	414	1434
224	415	1429
225	416	1425
226	417	1421
227	418	1416
228	419	1412
229	420	1407
230	421	1402
231	422	1398
232	423	1393
233	424	1388
234	425	1383
235	425	1379
236	426	1374
237	427	1369
238	428	1365
239	429	1360
240	430	1356
241	431	1351
242	433	1349
243	434	1345
244	435	1341
245	436	1336
246	437	1332
247	438	1328
248	438	1323
249	439	1319
250	440	1315
251	441	1311
252	442	1307
253	443	1302
254	444	1298
255	445	1294
256	447	1294
257	448	1290
258	449	1286
259	450	1282
260	451	1278
261	452	1273
262	453	1269
263	454	1266
264	455	1262
265	455	1258
266	456	1254
267	457	1250
268	458	1246
269	459	1242
270	460	1239
271	461	1235
272	462	1232
273	463	1228
274	464	1224
275	465	1221
276	466	1217
277	467	1214
278	468	1210
279	469	1206
280	470	1203
281	471	1199
282	472	1196
283	473	1192
284	474	1189
285	475	1186
286	476	1182
287	478	1182
288	479	1179
289	480	1177
290	481	1174
291	482	1170
292	483	1167
293	484	1163
294	485	1160
295	486	1157
296	487	1154
297	488	1150
298	489	1147
299	490	1143
300	491	1141
301	492	1138
302	493	1136
303	494	1132
304	495	1129
305	496	1126
306	497	1123
307	498	1120
308	500	1118
309	501	1115
310	501	1112
311	502	1108
312	503	1105
313	504	1102
314	505	1099
315	506	1096
316	507	1093
317	508	1090
318	509	1087
319	510	1084
320	511	1082
321	513	1081
322	514	1078
323	516	1077
324	517	1075
325	518	1072
326	520	1070
327	521	1068
328	522	1065
329	523	1063
330	524	1060
331	526	1058
332	527	1055
333	528	1053
334	529	1051
335	530	1048
336	531	1046
337	533	1044
338	535	1044
339	537	1043
340	538	1040
341	539	1038
342	540	1036
343	542	1033
344	543	1031
345	544	1029
346	546	1027
347	547	1025
348	548	1023
349	552	1025
350	553	1023
351	554	1021
352	556	1019
353	557	1017
354	558	1015
355	560	1013
356	561	1011
357	563	1009
358	565	1008
359	568	1011
360	571	1011
361	572	1009
362	574	1007
363	576	1006
364	577	1004
365	579	1003
366	580	1001
367	583	1002
368	585	1000
369	586	998
370	587	996
371	589	994
372	590	992
373	592	991
374	594	990
375	595	987
376	596	986
377	601	988
378	602	986
379	603	985
380	605	983
381	606	981
382	608	979
383	609	977
384	610	975
385	612	973
386	613	971
387	616	972
388	618	971
389	620	969
390	621	967
391	622	966
392	624	964
393	625	962
394	626	959
395	628	957
396	631	958
397	632	956
398	634	955
399	635	953
400	637	951
401	638	949
402	639	947
403	640	945
404	642	943
405	645	943
406	646	941
407	647	939
408	649	937
409	650	936
410	651	934
411	653	932
412	654	930
413	655	927
414	656	925
415	658	923
416	661	924
417	663	923
418	664	922
419	666	919
420	667	917
421	669	916
422	670	914
423	671	912
424	673	910
425	675	910
426	678	910
427	679	908
428	680	906
429	682	904
430	683	901
431	684	900
432	685	898
433	687	896
434	688	894
435	689	892
436	690	889
437	691	887
438	693	885
439	694	883
440	695	881
441	696	879
442	697	876
443	698	874
444	699	872
445	701	870
446	702	868
447	703	866
448	705	865
449	706	863
450	707	860
451	708	859
452	709	857
453	711	855
454	712	853
455	713	851
456	714	849
457	715	847
458	716	845
459	718	842
460	719	840
461	720	838
462	721	836
463	722	834
464	723	832
465	724	830
466	726	828
467	727	826
468	728	824
469	729	822
470	730	820
471	731	818
472	733	816
473	734	815
474	735	812
475	736	811
476	737	809
477	739	807
478	740	805
479	741	803
480	742	801
481	743	799
482	744	797
483	746	795
484	747	794
485	749	792
486	750	790
487	751	788
488	752	786
489	753	784
490	755	782
491	756	780
492	757	778
493	758	776
494	759	774
495	760	773
496	761	771
497	763	769
498	764	767
499	765	765
500	766	763
501	767	761
502	768	759
503	770	757
504	771	756
505	772	754
506	773	752
507	774	750
508	776	749
509	777	747
510	778	745
511	780	743
512	781	741
513	782	739
514	783	737
515	784	735
516	785	734
517	786	732
518	788	730
519	789	728
520	791	727
521	792	725
522	794	724
523	795	722
524	796	720
525	797	718
526	798	717
527	799	715
528	801	713
529	802	711
530	803	709
531	804	707
532	805	705
533	806	703
534	807	701
535	808	700
536	809	698
537	810	696
538	812	694
539	813	692
540	814	691
541	815	689
542	816	687
543	818	685
544	819	684
545	820	682
546	821	680
547	822	678
548	823	676
549	824	674
550	825	672
551	826	670
552	827	668
553	828	666
554	828	664
555	830	663
556	831	661
557	832	659
558	833	657
559	834	655
560	835	653
561	836	651
562	837	649
563	838	648
564	839	646
565	840	644
566	841	642
567	842	640
568	842	638
569	843	636
570	844	634
571	845	632
572	846	630
573	847	629
574	848	627
575	849	625
576	850	623
577	851	621
578	852	620
579	853	618
580	854	616
581	855	614
582	856	612
583	857	610
584	858	609
585	859	607
586	860	605
587	861	603
588	862	601
589	863	599
590	864	598
591	865	596
592	866	594
593	867	592
594	868	591
595	869	589
596	870	587
597	871	585
598	872	583
599	873	582
600	874	580
601	874	578
602	875	576
603	876	574
604	878	573
605	879	571
606	880	569
607	881	568
608	882	566
